base_salary,num_appraisals,num_benefits,num_raise_requests,completion_rate,past_performance_score,skills,cost_of_training,benefit_to_cost_ratio
8993.428306022466,0,4,0,0.7138805935189712,0,4,1165.3966093930471,0.023485184
7723.471398,3,2,0,0.5739695466230982,4,7,2311.01071,0.182055976
9295.377076201385,1,0,1,0.41285958943041146,4,4,1351.6569283253948,0.07612396
11046.059712816052,2,1,2,0.578634795,2,3,2637.4526626470392,0.035709595
7531.693250553328,5,2,3,0.7567126937492749,1,7,2341.280279073704,0.092338553
7531.726086101638,2,2,2,0.9961550034043508,4,3,1727.9282562501462,0.14017645
11158.425631014783,2,0,1,0.958624258,2,6,2011.5189385715846,0.129059897
9534.869458305817,5,3,3,0.9125358809135108,0,7,2407.918150884466,0.045487772
7061.051228130096,0,6,0,0.4044696422539233,1,10,1484.0574380013134,0.070067706
9085.120087,3,3,2,0.9772236504628381,4,8,2166.6957914041213,0.2972133
7073.164614375076,1,3,3,0.6024583623485099,4,2,2869.4784544734935,0.050027088
7068.540492859486,2,3,1,0.7149321977519052,2,5,1698.1576745417442,0.102458128
8483.924543132069,2,1,0,0.40560452100917715,2,4,1520.6856883024584,0.046334458
4173.439510684404,2,4,0,0.8626115618685236,1,4,2215.522833,0.082261574
4550.164334973934,2,2,0,0.7764812178645808,4,3,1071.2718875231499,0.175901691
6875.424941518055,2,5,1,0.7578027263182582,4,2,500,0.075212979
5974.3377593311525,1,2,1,0.4935213725615546,2,3,1986.0847760766076,0.048487855
8628.494665190548,4,4,1,0.7679396019045575,2,4,793.7671187957251,0.079289861
6183.9518489575785,3,3,2,0.6503690889905762,3,8,2461.1528834485425,0.197359926
5175.392597329417,1,5,1,0.965483573,3,4,506.2155265313954,0.184305171
10931.297537843107,3,2,0,0.93522811,0,4,1277.6985007203177,0.028320945
7548.447399026929,0,6,0,0.9256759877509254,2,9,2985.3556957670157,0.184672789
8135.056409375848,1,1,1,0.4105152826130517,2,5,2701.0242510273915,0.053378001
5150.503627573086,2,2,1,0.8012875011779415,1,7,2451.118083,0.127454069
6911.2345509496345,2,1,1,0.6636263209279349,1,7,1296.6742665470201,0.104297975
8221.845179419732,2,1,0,0.5339669329544181,2,3,892.179452,0.049986375
5698.012845155394,3,1,2,0.5374474669574525,4,4,817.6352481,0.144949561
8751.396036691343,1,2,1,0.5306835950751516,1,10,2895.2694765083957,0.082618107
6798.72262,2,5,1,0.6354297937741886,0,4,2148.8681084472887,0.021821845
7416.6125004134465,6,4,0,0.9904319377935853,2,4,1530.018300201308,0.108573893
6796.586775541206,4,5,2,0.7180623147092111,0,5,1597.4758876905078,0.031789372
11704.556369017875,4,1,1,0.4996270298589892,3,5,709.6881831458841,0.076196082
7973.005550524133,3,1,1,0.7270990050153818,2,7,1293.652695,0.153201592
5884.5781420881995,3,1,2,0.8450164212978668,0,5,561.5368684974485,0.057514511
9645.089824206378,3,4,4,0.5757723894225778,2,7,2257.5262855751894,0.082238563
5558.312700057955,4,1,2,0.4303546195239943,4,5,1168.5145242075275,0.141066071
8417.727190009511,2,0,1,0.6277688580216754,4,5,2556.9844124573674,0.140444085
4080.659752240449,5,4,1,0.8659701037734655,1,3,2480.5837040405468,0.059304603
